time,open,high,low,close,Volume,MA,MA,MA,Low Difference (%),High Difference (%)
1751501135,0.1354,0.1354,0.1354,0.1354,1841,NaN,0.135262962962963,0.13544444444444445,NaN,NaN
1751501140,0.1354,0.1354,0.1354,0.1354,38.8,NaN,0.1352740740740741,0.13543333333333335,NaN,NaN
1751501143,0.1353,0.1353,0.1353,0.1353,9911,NaN,0.13528148148148153,0.1354,NaN,NaN
1751501145,0.1352,0.1352,0.1352,0.1352,115,NaN,0.1352814814814815,0.13536666666666666,NaN,NaN
1751501148,0.1353,0.1353,0.1352,0.1352,1156.2,NaN,0.1352814814814815,0.13533333333333333,NaN,NaN
1751501149,0.1353,0.1353,0.1353,0.1353,147.4,NaN,0.1352888888888889,0.13532222222222223,NaN,NaN
1751501158,0.1353,0.1353,0.1353,0.1353,11634.9,NaN,0.13530000000000003,0.1353111111111111,NaN,NaN
1751501160,0.1353,0.1353,0.1353,0.1353,500,NaN,0.13531111111111113,0.1353111111111111,NaN,NaN
1751501166,0.1353,0.1353,0.1353,0.1353,1350,NaN,0.13531851851851853,0.1353,NaN,NaN
1751501167,0.1354,0.1354,0.1354,0.1354,615,NaN,0.13532592592592593,0.13530000000000003,NaN,NaN
1751501175,0.1354,0.1354,0.1354,0.1354,40.9,NaN,0.13533333333333336,0.13530000000000003,NaN,NaN
1751501181,0.1354,0.1354,0.1354,0.1354,1841,NaN,0.13534074074074076,0.13531111111111113,NaN,NaN
1751501188,0.1353,0.1353,0.1353,0.1353,521.2,NaN,0.13534444444444446,0.13532222222222223,NaN,NaN
1751501192,0.1354,0.1354,0.1354,0.1354,136.6,NaN,0.1353518518518519,0.13534444444444446,NaN,NaN
1751501204,0.1354,0.1354,0.1354,0.1354,571.6,NaN,0.1353592592592593,0.13535555555555556,NaN,NaN
1751501212,0.1354,0.1354,0.1354,0.1354,1841,NaN,0.1353666666666667,0.1353666666666667,NaN,NaN
1751501227,0.1353,0.1353,0.1353,0.1353,136.6,NaN,0.1353703703703704,0.1353666666666667,NaN,NaN
1751501238,0.1353,0.1353,0.1353,0.1353,1841,NaN,0.1353703703703704,0.1353666666666667,NaN,NaN
1751501240,0.1354,0.1354,0.1354,0.1354,129,NaN,0.1353703703703704,0.1353666666666667,NaN,NaN
1751501260,0.1353,0.1353,0.1353,0.1353,2955.1,NaN,0.13536296296296296,0.13535555555555556,NaN,NaN
1751501272,0.1352,0.1352,0.1352,0.1352,41,NaN,0.1353481481481482,0.13533333333333336,NaN,NaN
1751501278,0.1353,0.1353,0.1353,0.1353,4364.7,NaN,0.13534074074074076,0.13533333333333336,NaN,NaN
1751501288,0.1353,0.1353,0.1353,0.1353,289.3,NaN,0.13533333333333333,0.13532222222222223,NaN,NaN
1751501293,0.1353,0.1353,0.1352,0.1352,1043.4,NaN,0.13532592592592593,0.13530000000000003,NaN,NaN
