time,open,high,low,close,Volume,MA,MA,MA,Low Difference (%),High Difference (%)
1701475200,0.02864,0.02864,0.02864,0.02864,1086.45436083,NaN,NaN,NaN,0.16,-0.46
1701493200,0.028821,0.028821,0.028821,0.028821,2.8,NaN,NaN,NaN,-1.41,-1.99
1701504000,0.028912,0.028912,0.028909,0.028909,67,NaN,NaN,NaN,-1.57,-2.28
1701507600,0.0334,0.0334,0.033338,0.033339,17.61580217,NaN,NaN,NaN,13.32,12.47
1701514800,0.029008,0.031016,0.029008,0.031016,71.47180475,NaN,NaN,NaN,-1.65,4.66
1701518400,0.030617,0.030617,0.02864,0.02864,391.91402602,NaN,NaN,NaN,-2.97,3.3
1701522000,0.028739,0.030831,0.028739,0.029013,3.13847087,NaN,NaN,NaN,-2.48,3.78
1701525600,0.028939,0.030582,0.028835,0.028835,157.30852419,NaN,NaN,NaN,-1.77,3.4
1701529200,0.028829,0.029043,0.028829,0.029042,45.03592,NaN,NaN,0.029583888888888892,-1.79,-1.71
1701536400,0.088765,0.088765,0.029882,0.029883,72.6587954,NaN,NaN,0.029722000000000002,2.27,201.53
1701540000,0.029142,0.029142,0.029091,0.029091,195.6312069,NaN,NaN,0.029752,0.61,-0.77
1701543600,0.028671,0.029958,0.028671,0.028777,31.75510045,NaN,NaN,0.02973733333333333,-0.63,2.57
1701547200,0.029011,0.029017,0.029011,0.029014,63.96752,NaN,NaN,0.02925677777777778,-0.56,-1.15
1701550800,0.028684,0.034796,0.028684,0.031678,63.92041487,NaN,NaN,0.029330333333333333,-1.4,18.86
1701554400,0.031397,0.031397,0.031057,0.03106,67.10185,NaN,NaN,0.02959922222222222,6.67,7.46
1701558000,0.02898,0.030611,0.028964,0.030269,16.07861484,NaN,NaN,0.02973877777777778,-0.42,3.76
1701561600,0.030191,0.031262,0.029373,0.030937,117.21008356,NaN,NaN,0.029972333333333337,0.01,3.58
1701565200,0.030901,0.031283,0.028986,0.031283,631.45678406,NaN,NaN,0.03022133333333334,-2.74,3.59
1701568800,0.03103,0.03103,0.030828,0.030828,8.9232,NaN,NaN,0.030326333333333337,3.18,3.28
1701572400,0.029269,0.030826,0.029117,0.029117,218.40418,NaN,NaN,0.03032922222222223,-1.57,2.89
1701576000,0.029372,0.030822,0.029372,0.030776,25.65672,NaN,NaN,0.030551333333333337,-0.65,3.7
1701579600,0.02941,0.02941,0.02941,0.02941,13.132,NaN,NaN,0.03059533333333334,-0.42,-1.12
1701583200,0.030078,0.030078,0.029942,0.029942,6.81533,NaN,NaN,0.030402444444444454,1.36,1.29
1701586800,0.029866,0.030016,0.029866,0.029922,9.98850288,NaN,NaN,0.030276000000000008,1.41,1.35
1701590400,0.029934,0.030082,0.029201,0.02982,15.85571389,NaN,NaN,0.03022611111111112,-0.5,1.57
1701594000,0.0301,0.030123,0.030034,0.030041,80.38561736,NaN,NaN,0.030126555555555563,2.57,2.04
1701597600,0.03005,0.03005,0.029203,0.029209,19.84165586,NaN,0.029900444444444445,0.029896111111111116,-0.14,2.2
1701601200,0.029207,0.030076,0.029201,0.03001,31.84572931,NaN,0.029951185185185185,0.02980522222222223,-0.09,2.24
